step,time,ground_x,ground_y,ground_th,est_x,est_y,est_th
111,0.19190573692321777,1.0101,0.11155,0.0,2.383112155006323,2.1954160124368225,-2.354727873218453
112,0.19339585304260254,1.0101,0.11205,0.0,2.376006485469264,2.199248181674827,-2.355018141037621
113,0.19515562057495117,1.0101,0.11255,0.0,2.385295856402008,2.2080600672098445,-2.3502869676799745
114,0.19753026962280273,1.0101,0.11305,0.0,2.3951728012884974,2.202544692799732,-2.3384137182973217
115,0.2000727653503418,1.0101,0.11355,0.0,2.392315902070198,2.1977761000590634,-2.352982240045306
116,0.20250320434570312,1.0101,0.11405,0.0,2.3974692363013,2.198005830686446,-2.354989607048801
117,0.2049565315246582,1.0101,0.11455,0.0,2.3930975832645096,2.198467037317227,-2.3616003706781483
118,0.2067265510559082,1.0101,0.11505,0.0,2.389536462851194,2.1961895896614356,-2.35771641334295
119,0.20826411247253418,1.0101,0.11555,0.0,2.385530581171041,2.205804102162959,-2.3666732057764888
120,0.20984578132629395,1.0101,0.11605,0.0,2.388569416001327,2.204372796193689,-2.353610690184115
121,0.21137285232543945,1.0101,0.11656,0.0,2.4018722484711037,2.206713736286422,-2.3512378360158572
122,0.21291399002075195,1.0101,0.11706,0.0,2.40412819828573,2.2096520658280627,-2.3602596794949164
123,0.21443676948547363,1.0101,0.11756,0.0,2.4030433931290633,2.2057981476000577,-2.3576533679577727
124,0.21597981452941895,1.0101,0.11806,0.0,2.405272843320887,2.202639681151513,-2.3625242713963637
125,0.21747899055480957,1.0101,0.11856,0.0,2.401243569854023,2.2015829631601664,-2.3649811324247367
126,0.21898293495178223,1.0101,0.11906,0.0,2.399433849034587,2.2060352005570993,-2.358884782347611
127,0.2204742431640625,1.0101,0.11956,0.0,2.4035985777357274,2.2031460823328985,-2.363834262958874
128,0.22198891639709473,1.0101,0.12006,0.0,2.4063752340346647,2.2016445848797646,-2.360231867883096
129,0.2234807014465332,1.0101,0.12056,0.0,2.4074893291110415,2.202671848698676,-2.346457222310411
130,0.22499847412109375,1.0101,0.12106,0.0,2.4042021329219807,2.2071572232022025,-2.3500193401789917
131,0.22648382186889648,1.0101,0.12156,0.0,2.3977907492800297,2.2031287286463828,-2.348020923233548
132,0.22809076309204102,1.0101,0.12206,0.0,2.396565703576182,2.2034262385929795,-2.3668817252807823
133,0.23000407218933105,1.0101,0.12256,0.0,2.3896035832528293,2.2029855991276714,-2.3580241980034633
134,0.2316882610321045,1.0101,0.12306,0.0,2.3927029913024183,2.1999334501246097,-2.3555024131281264
135,0.23320245742797852,1.0101,0.12356,0.0,2.392303338282299,2.198693007728844,-2.3660075487484002
136,0.23471474647521973,1.0101,0.12406,0.0,2.4065227735266737,2.1966546893331076,-2.363785783128896
137,0.23621129989624023,1.0101,0.12456,0.0,2.410943262782773,2.198806708793121,-2.3607913764521378
138,0.23778724670410156,1.0101,0.12506,0.0,2.410124060309839,2.1979696017525256,-2.3639023132141737
139,0.23929858207702637,1.0101,0.12556,0.0,2.4081495093555296,2.2027501211099847,-2.3488756773496178
140,0.2408275604248047,1.0101,0.12606,0.0,2.4053284861617548,2.2009338329794352,-2.3546767296883235
141,0.24233698844909668,1.0101,0.12656,0.0,2.3971514426132265,2.1932761852094242,-2.3557886694478123
142,0.24445605278015137,1.0101,0.12706,0.0,2.3980728211228897,2.1883448284426934,-2.351329395513323
143,0.24624204635620117,1.0101,0.12757,0.0,2.392785650290494,2.185365347524261,-2.351255420119678
144,0.2488095760345459,1.0101,0.12807,0.0,2.396767329145877,2.1851720933323233,-2.357636911572275
145,0.2509043216705322,1.0101,0.12857,0.0,2.405697985038509,2.184044888227477,-2.359488394806629
146,0.2532167434692383,1.0101,0.12907,0.0,2.400695276449553,2.187061079724861,-2.3430711228029417
147,0.25478029251098633,1.0101,0.12957,0.0,2.408878984047201,2.1909286873522102,-2.3599498374319583
148,0.256458044052124,1.0101,0.13007,0.0,2.4089945295101174,2.188462942569754,-2.3623097088710745
149,0.25804734230041504,1.0101,0.13057,0.0,2.4033035660590496,2.18482369338975,-2.359830967216741
150,0.2595551013946533,1.0101,0.13107,0.0,2.4035983753055654,2.1856863928273853,-2.3618518989385646
151,0.26107048988342285,1.0101,0.13157,0.0,2.393307984378561,2.185420347743631,-2.3641816094170527
152,0.2625739574432373,1.0101,0.13207,0.0,2.3897955149360532,2.1856169442000843,-2.362826570889568
153,0.2640869617462158,1.0101,0.13257,0.0,2.395040716021083,2.1906821329942447,-2.357989219627822
154,0.265580415725708,1.0101,0.13307,0.0,2.3972224093111514,2.188845239027281,-2.366517799118386
155,0.2670903205871582,1.0101,0.13357,0.0,2.400136050809892,2.1875096420615985,-2.35963339327541
156,0.26857709884643555,1.0101,0.13407,0.0,2.389129645197101,2.1922737733360353,-2.3699365914658377
157,0.27008843421936035,1.0101,0.13457,0.0,2.3911313957593356,2.1955499671589327,-2.3763934065053443
158,0.2715761661529541,1.0101,0.13507,0.0,2.3845160951312194,2.188203938077796,-2.3562194029610297
159,0.2731001377105713,1.0101,0.13557,0.0,2.3772692623457523,2.1925377472615324,-2.3656374305754433
160,0.2746012210845947,1.0101,0.13607,0.0,2.3730167640415005,2.1870487460974,-2.3659956862893896
